instance_id,positive_phrase,negative_phrase,image,image_tag
0,see person,touch pillow,S_20140420_1803_01_082_00.jpg,positive
0,see person,touch pillow,S_20140420_1803_01_082_00_neg.jpeg,negative
1,play mat,read book,S_20130519_0702_03_044_20.jpg,positive
1,play mat,read book,S_20130519_0702_03_044_20_neg.jpeg,negative
2,read book,close box,S_20131024_1207_03_253_05.jpg,positive
2,read book,close box,S_20131024_1207_03_253_05_neg.jpeg,negative
3,sit bench,run street,S_20130529_0712_04_073_00.jpg,positive
3,sit bench,run street,S_20130529_0712_04_073_00_neg.jpeg,negative
4,car outside,bike outside,S_20131012_1125_03_042_05.jpg,positive
4,car outside,bike outside,S_20131012_1125_03_042_05_neg.jpeg,negative
5,silver car,blue bike,S_20131012_1125_03_042_20.jpg,positive
5,silver car,blue bike,S_20131012_1125_03_042_20_neg.jpeg,negative
6,see stroller,find kitty,S_20131012_1125_03_042_25.jpg,positive
6,see stroller,find kitty,S_20131012_1125_03_042_25_neg.jpeg,negative
7,happy bug,sad bug,S_20130602_0716_02_120_15.jpg,positive
7,happy bug,sad bug,S_20130602_0716_02_120_15_neg.jpeg,negative
8,shoe strap,hat strap,S_20140430_1813_04_072_00.jpg,positive
8,shoe strap,hat strap,S_20140430_1813_04_072_00_neg.jpeg,negative
9,big smile,small frown,S_20130526_0709_01_008_00.jpg,positive
9,big smile,small frown,S_20130526_0709_01_008_00_neg.jpeg,negative
10,hug hippo,kick ball,S_20140125_1508_01_117_00.jpg,positive
10,hug hippo,kick ball,S_20140125_1508_01_117_00_neg.jpeg,negative
11,green bowl,blue cup,S_20130724_0907_07_043_15.jpg,positive
11,green bowl,blue cup,S_20130724_0907_07_043_15_neg.jpeg,negative
12,press button,hug frog,S_20130824_1007_02_101_05.jpg,positive
12,press button,hug frog,S_20130824_1007_02_101_05_neg.jpeg,negative
13,book read,toy play,S_20130901_1015_04_038_00.jpg,positive
13,book read,toy play,S_20130901_1015_04_038_00_neg.jpeg,negative
14,see apple,see dog,S_20130622_0805_06_118_00.jpg,positive
14,see apple,see dog,S_20130622_0805_06_118_00_neg.jpeg,negative
15,eat apple,play dog,S_20130622_0805_06_118_05.jpg,positive
15,eat apple,play dog,S_20130622_0805_06_118_05_neg.jpeg,negative
16,eat fruit,play fruit,S_20140409_1723_02_261_05.jpg,positive
16,eat fruit,play fruit,S_20140409_1723_02_261_05_neg.jpeg,negative
17,climb stairs,slide down,S_20140409_1723_02_261_10.jpg,positive
17,climb stairs,slide down,S_20140409_1723_02_261_10_neg.jpeg,negative
18,open bin,closed bin,S_20140409_1723_02_261_25.jpg,positive
18,open bin,closed bin,S_20140409_1723_02_261_25_neg.jpeg,negative
19,yellow fish,red fish,S_20130901_1015_04_116_00.jpg,positive
19,yellow fish,red fish,S_20130901_1015_04_116_00_neg.jpeg,negative
20,paper fall,ball roll,S_20130915_1029_01_031_00.jpg,positive
20,paper fall,ball roll,S_20130915_1029_01_031_00_neg.jpeg,negative
21,girl book,baby book,S_20130731_0914_01_119_00.jpg,positive
21,girl book,baby book,S_20130731_0914_01_119_00_neg.jpeg,negative
22,family book,story book,S_20130928_1111_03_053_05.jpg,positive
22,family book,story book,S_20130928_1111_03_053_05_neg.jpeg,negative
23,see kitty,see puppy,S_20131024_1207_03_132_00.jpg,positive
23,see kitty,see puppy,S_20131024_1207_03_132_00_neg.jpeg,negative
24,stair step,chair step,S_20140426_1809_09_044_00.jpg,positive
24,stair step,chair step,S_20140426_1809_09_044_00_neg.jpeg,negative
25,yellow bucket,blue bucket,S_20140409_1723_08_189_00.jpg,positive
25,yellow bucket,blue bucket,S_20140409_1723_08_189_00_neg.jpeg,negative
26,sand bucket,stone shovel,S_20140409_1723_08_189_05.jpg,positive
26,sand bucket,stone shovel,S_20140409_1723_08_189_05_neg.jpeg,negative
27,yellow baby,green baby,S_20130901_1015_04_058_10.jpg,positive
27,yellow baby,green baby,S_20130901_1015_04_058_10_neg.jpeg,negative
28,see heart,find rocket,S_20131113_1227_05_112_10.jpg,positive
28,see heart,find rocket,S_20131113_1227_05_112_10_neg.jpeg,negative
29,cow piece,duck piece,S_20140413_1727_01_067_00.jpg,positive
29,cow piece,duck piece,S_20140413_1727_01_067_00_neg.jpeg,negative
30,see tree,climb rock,S_20140430_1813_06_124_00.jpg,positive
30,see tree,climb rock,S_20140430_1813_06_124_00_neg.jpeg,negative
31,play mat,clean grass,S_20130508_0621_01_070_05.jpg,positive
31,play mat,clean grass,S_20130508_0621_01_070_05_neg.jpeg,negative
32,climb ladder,sit mat,S_20130508_0621_01_070_30.jpg,positive
32,climb ladder,sit mat,S_20130508_0621_01_070_30_neg.jpeg,negative
33,red cup,blue cup,S_20130822_1005_02_090_05.jpg,positive
33,red cup,blue cup,S_20130822_1005_02_090_05_neg.jpeg,negative
34,star pillow,blue giraffe,S_20140403_1717_02_016_05.jpg,positive
34,star pillow,blue giraffe,S_20140403_1717_02_016_05_neg.jpeg,negative
35,see book,read map,S_20130526_0709_04_071_05.jpg,positive
35,see book,read map,S_20130526_0709_04_071_05_neg.jpeg,negative
36,yellow flower,green tree,S_20130526_0709_04_071_10.jpg,positive
36,yellow flower,green tree,S_20130526_0709_04_071_10_neg.jpeg,negative
37,make tea,cook soup,S_20140418_1801_02_306_00.jpg,positive
37,make tea,cook soup,S_20140418_1801_02_306_00_neg.jpeg,negative
38,drink milk,feed kitty,S_20130818_1001_02_026_15.jpg,positive
38,drink milk,feed kitty,S_20130818_1001_02_026_15_neg.jpeg,negative
39,bed soft,bed hard,S_20140430_1813_02_257_00.jpg,positive
39,bed soft,bed hard,S_20140430_1813_02_257_00_neg.jpeg,negative
40,car stop,bike stop,S_20141009_2322_01_003_05.jpg,positive
40,car stop,bike stop,S_20141009_2322_01_003_05_neg.jpeg,negative
41,happy face,sad face,S_20140125_1508_01_234_05.jpg,positive
41,happy face,sad face,S_20140125_1508_01_234_05_neg.jpeg,negative
42,read book,eat toy,S_20130526_0709_04_089_00.jpg,positive
42,read book,eat toy,S_20130526_0709_04_089_00_neg.jpeg,negative
43,touch rocks,touch leaves,S_20141108_2422_02_104_25.jpg,positive
43,touch rocks,touch leaves,S_20141108_2422_02_104_25_neg.jpeg,negative
44,more banana,one apple,S_20130919_1102_06_014_10.jpg,positive
44,more banana,one apple,S_20130919_1102_06_014_10_neg.jpeg,negative
45,baby bubbles,dog bubbles,S_20131003_1116_03_024_00.jpg,positive
45,baby bubbles,dog bubbles,S_20131003_1116_03_024_00_neg.jpeg,negative
46,baby smile,dog bark,S_20131003_1116_03_024_05.jpg,positive
46,baby smile,dog bark,S_20131003_1116_03_024_05_neg.jpeg,negative
47,eat snack,throw ball,S_20130508_0621_01_093_10.jpg,positive
47,eat snack,throw ball,S_20130508_0621_01_093_10_neg.jpeg,negative
48,touch giraffe,move zebra,S_20140125_1508_03_252_05.jpg,positive
48,touch giraffe,move zebra,S_20140125_1508_03_252_05_neg.jpeg,negative
49,bunny cute,frog cute,S_20141102_2416_01_131_00.jpg,positive
49,bunny cute,frog cute,S_20141102_2416_01_131_00_neg.jpeg,negative
50,empty box,full box,S_20140503_1816_02_095_00.jpg,positive
50,empty box,full box,S_20140503_1816_02_095_00_neg.jpeg,negative
51,sneaker floor,boot floor,S_20141106_2420_03_105_05.jpg,positive
51,sneaker floor,boot floor,S_20141106_2420_03_105_05_neg.jpeg,negative
52,kitty read,doggy read,S_20130619_0802_01_137_00.jpg,positive
52,kitty read,doggy read,S_20130619_0802_01_137_00_neg.jpeg,negative
53,count dogs,pet cats,S_20130811_0925_03_323_00.jpg,positive
53,count dogs,pet cats,S_20130811_0925_03_323_00_neg.jpeg,negative
54,count dogs,count lions,S_20130811_0925_03_323_05.jpg,positive
54,count dogs,count lions,S_20130811_0925_03_323_05_neg.jpeg,negative
55,bake dough,paint dough,S_20141011_2324_05_366_10.jpg,positive
55,bake dough,paint dough,S_20141011_2324_05_366_10_neg.jpeg,negative
56,get shoes,leave toys,S_20130928_1111_06_019_00.jpg,positive
56,get shoes,leave toys,S_20130928_1111_06_019_00_neg.jpeg,negative
57,walk road,stop sign,S_20140405_1719_02_002_10.jpg,positive
57,walk road,stop sign,S_20140405_1719_02_002_10_neg.jpeg,negative
58,big rock,big balloon,S_20141015_2328_01_092_05.jpg,positive
58,big rock,big balloon,S_20141015_2328_01_092_05_neg.jpeg,negative
59,see shadow,catch balloon,S_20141015_2328_01_092_25.jpg,positive
59,see shadow,catch balloon,S_20141015_2328_01_092_25_neg.jpeg,negative
60,grass grow,cloudy sky,S_20140119_1502_02_050_15.jpg,positive
60,grass grow,cloudy sky,S_20140119_1502_02_050_15_neg.jpeg,negative
61,baby smile,cat smile,S_20130814_0928_03_412_15.jpg,positive
61,baby smile,cat smile,S_20130814_0928_03_412_15_neg.jpeg,negative
62,see flowers,see birds,S_20131024_1207_03_118_05.jpg,positive
62,see flowers,see birds,S_20131024_1207_03_118_05_neg.jpeg,negative
63,touch keys,kick ball,S_20140420_1803_01_242_00.jpg,positive
63,touch keys,kick ball,S_20140420_1803_01_242_00_neg.jpeg,negative
64,climb up,dig hole,S_20131012_1125_04_013_00.jpg,positive
64,climb up,dig hole,S_20131012_1125_04_013_00_neg.jpeg,negative
65,push cart,pull basket,S_20130626_0809_02_003_00.jpg,positive
65,push cart,pull basket,S_20130626_0809_02_003_00_neg.jpeg,negative
66,red bag,blue bag,S_20130803_0917_05_027_05.jpg,positive
66,red bag,blue bag,S_20130803_0917_05_027_05_neg.jpeg,negative
67,build house,eat block,S_20130824_1007_01_111_05.jpg,positive
67,build house,eat block,S_20130824_1007_01_111_05_neg.jpeg,negative
68,animal puzzle,animal book,S_20140406_1720_01_209_00.jpg,positive
68,animal puzzle,animal book,S_20140406_1720_01_209_00_neg.jpeg,negative
69,crunchy toast,mushy apple,S_20141019_2402_02_078_00.jpg,positive
69,crunchy toast,mushy apple,S_20141019_2402_02_078_00_neg.jpeg,negative
70,hug kitty,chase kitty,S_20130626_0809_01_069_05.jpg,positive
70,hug kitty,chase kitty,S_20130626_0809_01_069_05_neg.jpeg,negative
71,jump kitty,sleep kitty,S_20130724_0907_01_037_00.jpg,positive
71,jump kitty,sleep kitty,S_20130724_0907_01_037_00_neg.jpeg,negative
72,kitty eat,kitty play,S_20130724_0907_01_037_25.jpg,positive
72,kitty eat,kitty play,S_20130724_0907_01_037_25_neg.jpeg,negative
73,fluffy kitty,barking puppy,S_20130724_0907_01_037_30.jpg,positive
73,fluffy kitty,barking puppy,S_20130724_0907_01_037_30_neg.jpeg,negative
74,sand play,water play,S_20140409_1723_08_150_05.jpg,positive
74,sand play,water play,S_20140409_1723_08_150_05_neg.jpeg,negative
75,sunny park,cloudy park,S_20140119_1502_02_042_05.jpg,positive
75,sunny park,cloudy park,S_20140119_1502_02_042_05_neg.jpeg,negative
76,sunny day,rainy day,S_20140119_1502_02_042_30.jpg,positive
76,sunny day,rainy day,S_20140119_1502_02_042_30_neg.jpeg,negative
77,see tree,see car,S_20130616_0730_01_034_00.jpg,positive
77,see tree,see car,S_20130616_0730_01_034_00_neg.jpeg,negative
78,wood floor,wet floor,S_20141026_2409_03_167_05.jpg,positive
78,wood floor,wet floor,S_20141026_2409_03_167_05_neg.jpeg,negative
79,glass table,chair table,S_20130720_0903_04_071_20.jpg,positive
79,glass table,chair table,S_20130720_0903_04_071_20_neg.jpeg,negative
80,empty glass,full glass,S_20130720_0903_04_071_25.jpg,positive
80,empty glass,full glass,S_20130720_0903_04_071_25_neg.jpeg,negative
81,floor messy,floor clean,S_20130616_0730_07_014_15.jpg,positive
81,floor messy,floor clean,S_20130616_0730_07_014_15_neg.jpeg,negative
82,clean floor,dirty floor,S_20140409_1723_04_040_05.jpg,positive
82,clean floor,dirty floor,S_20140409_1723_04_040_05_neg.jpeg,negative
83,fridge shiny,floor messy,S_20140409_1723_04_040_15.jpg,positive
83,fridge shiny,floor messy,S_20140409_1723_04_040_15_neg.jpeg,negative
84,star pillow,blue ribbon,S_20140403_1717_02_032_25.jpg,positive
84,star pillow,blue ribbon,S_20140403_1717_02_032_25_neg.jpeg,negative
85,find M,find N,S_20141015_2328_02_125_00.jpg,positive
85,find M,find N,S_20141015_2328_02_125_00_neg.jpeg,negative
86,beach walk,grass play,S_20141015_2328_04_032_05.jpg,positive
86,beach walk,grass play,S_20141015_2328_04_032_05_neg.jpeg,negative
87,see duck,see frog,S_20140430_1813_07_035_00.jpg,positive
87,see duck,see frog,S_20140430_1813_07_035_00_neg.jpeg,negative
88,blue ball,red ball,S_20130619_0802_03_030_10.jpg,positive
88,blue ball,red ball,S_20130619_0802_03_030_10_neg.jpeg,negative
89,watch video,read book,S_20140420_1803_01_299_00.jpg,positive
89,watch video,read book,S_20140420_1803_01_299_00_neg.jpeg,negative
90,green grass,yellow flowers,S_20141009_2322_01_036_15.jpg,positive
90,green grass,yellow flowers,S_20141009_2322_01_036_15_neg.jpeg,negative
91,find mouse,hide cat,S_20130526_0709_04_052_00.jpg,positive
91,find mouse,hide cat,S_20130526_0709_04_052_00_neg.jpeg,negative
92,blue shirt,green shirt,S_20141009_2322_02_021_05.jpg,positive
92,blue shirt,green shirt,S_20141009_2322_02_021_05_neg.jpeg,negative
93,stay home,go play,S_20130915_1029_02_064_00.jpg,positive
