trial_id,target_category,real_category,image
0,ball,ball,ball/img_148161.jpeg
0,ball,basket,basket/img_50191.jpeg
0,ball,puzzle,puzzle/img_557330.jpeg
0,ball,chair,chair/img_14511.jpeg
1,ball,ball,ball/img_90712.jpeg
1,ball,cat,cat/img_101165.jpeg
1,ball,sand,sand/img_339013.jpeg
1,ball,computer,computer/img_250950.jpeg
2,ball,ball,ball/img_99202.jpeg
2,ball,crib,crib/img_558287.jpeg
2,ball,road,road/img_12986.jpeg
2,ball,car,car/img_80736.jpeg
3,ball,ball,ball/img_136359.jpeg
3,ball,room,room/img_171805.jpeg
3,ball,sand,sand/img_339615.jpeg
3,ball,hand,hand/img_64182.jpeg
4,ball,ball,ball/img_48318.jpeg
4,ball,computer,computer/img_1020050.jpeg
4,ball,cat,cat/img_158087.jpeg
4,ball,ground,ground/img_245837.jpeg
5,ball,ball,ball/img_50681.jpeg
5,ball,hand,hand/img_178587.jpeg
5,ball,toy,toy/img_151075.jpeg
5,ball,floor,floor/img_1005131.jpeg
6,ball,ball,ball/img_105878.jpeg
6,ball,room,room/img_359680.jpeg
6,ball,kitchen,kitchen/img_46534.jpeg
6,ball,ground,ground/img_245950.jpeg
7,ball,ball,ball/img_102617.jpeg
7,ball,hand,hand/img_9069.jpeg
7,ball,door,door/img_29817.jpeg
7,ball,kitchen,kitchen/img_88224.jpeg
8,ball,ball,ball/img_52447.jpeg
8,ball,chair,chair/img_549554.jpeg
8,ball,car,car/img_351343.jpeg
8,ball,paper,paper/img_565381.jpeg
9,ball,ball,ball/img_90277.jpeg
9,ball,computer,computer/img_1020144.jpeg
9,ball,basket,basket/img_50189.jpeg
9,ball,sand,sand/img_339313.jpeg
10,ball,ball,ball/img_48279.jpeg
10,ball,kitchen,kitchen/img_336003.jpeg
10,ball,table,table/img_559257.jpeg
10,ball,hand,hand/img_340929.jpeg
11,ball,ball,ball/img_109008.jpeg
11,ball,table,table/img_559817.jpeg
11,ball,chair,chair/img_93445.jpeg
11,ball,ground,ground/img_176591.jpeg
12,ball,ball,ball/img_84926.jpeg
12,ball,stairs,stairs/img_100192.jpeg
12,ball,chair,chair/img_372028.jpeg
12,ball,foot,foot/img_335488.jpeg
13,ball,ball,ball/img_102611.jpeg
13,ball,sand,sand/img_555486.jpeg
13,ball,ground,ground/img_12299.jpeg
13,ball,crib,crib/img_145557.jpeg
14,ball,ball,ball/img_105877.jpeg
14,ball,ground,ground/img_344768.jpeg
14,ball,basket,basket/img_14379.jpeg
14,ball,hand,hand/img_112266.jpeg
15,ball,ball,ball/img_98986.jpeg
15,ball,puzzle,puzzle/img_341813.jpeg
15,ball,road,road/img_574757.jpeg
15,ball,ground,ground/img_65502.jpeg
16,ball,ball,ball/img_130803.jpeg
16,ball,sand,sand/img_554297.jpeg
16,ball,puzzle,puzzle/img_332635.jpeg
16,ball,ground,ground/img_245020.jpeg
17,ball,ball,ball/img_108602.jpeg
17,ball,computer,computer/img_251030.jpeg
17,ball,door,door/img_554391.jpeg
17,ball,car,car/img_343708.jpeg
18,ball,ball,ball/img_37484.jpeg
18,ball,ground,ground/img_64756.jpeg
18,ball,puzzle,puzzle/img_554498.jpeg
18,ball,hand,hand/img_548067.jpeg
19,ball,ball,ball/img_52708.jpeg
19,ball,table,table/img_559542.jpeg
19,ball,stairs,stairs/img_554344.jpeg
19,ball,basket,basket/img_255181.jpeg
20,ball,ball,ball/img_132087.jpeg
20,ball,crib,crib/img_358030.jpeg
20,ball,stairs,stairs/img_28847.jpeg
20,ball,door,door/img_1019715.jpeg
21,ball,ball,ball/img_108271.jpeg
21,ball,stairs,stairs/img_1001559.jpeg
21,ball,car,car/img_182438.jpeg
21,ball,toy,toy/img_47012.jpeg
22,ball,ball,ball/img_33728.jpeg
22,ball,kitchen,kitchen/img_33407.jpeg
22,ball,door,door/img_560544.jpeg
22,ball,computer,computer/img_1020129.jpeg
23,ball,ball,ball/img_84988.jpeg
23,ball,cat,cat/img_108183.jpeg
23,ball,kitchen,kitchen/img_338622.jpeg
23,ball,window,window/img_177674.jpeg
24,ball,ball,ball/img_50894.jpeg
24,ball,stairs,stairs/img_93677.jpeg
24,ball,car,car/img_81394.jpeg
24,ball,basket,basket/img_343.jpeg
25,ball,ball,ball/img_85007.jpeg
25,ball,basket,basket/img_14373.jpeg
25,ball,window,window/img_167780.jpeg
25,ball,foot,foot/img_351449.jpeg
26,ball,ball,ball/img_105895.jpeg
26,ball,toy,toy/img_254738.jpeg
26,ball,stairs,stairs/img_63486.jpeg
26,ball,table,table/img_93253.jpeg
27,ball,ball,ball/img_113607.jpeg
27,ball,puzzle,puzzle/img_363150.jpeg
27,ball,basket,basket/img_251045.jpeg
27,ball,chair,chair/img_101209.jpeg
28,ball,ball,ball/img_132082.jpeg
28,ball,car,car/img_98609.jpeg
28,ball,table,table/img_559265.jpeg
28,ball,foot,foot/img_11822.jpeg
29,ball,ball,ball/img_89645.jpeg
29,ball,window,window/img_128795.jpeg
29,ball,door,door/img_16965.jpeg
29,ball,cat,cat/img_4375.jpeg
30,ball,ball,ball/img_54839.jpeg
30,ball,computer,computer/img_351540.jpeg
30,ball,ground,ground/img_65076.jpeg
30,ball,cat,cat/img_91373.jpeg
31,ball,ball,ball/img_130801.jpeg
31,ball,foot,foot/img_561983.jpeg
31,ball,basket,basket/img_255181.jpeg
31,ball,window,window/img_129114.jpeg
32,ball,ball,ball/img_32622.jpeg
32,ball,kitchen,kitchen/img_117327.jpeg
32,ball,road,road/img_144923.jpeg
32,ball,foot,foot/img_351427.jpeg
33,ball,ball,ball/img_23395.jpeg
33,ball,sand,sand/img_564601.jpeg
33,ball,road,road/img_144856.jpeg
33,ball,hand,hand/img_548065.jpeg
34,ball,ball,ball/img_19144.jpeg
34,ball,window,window/img_124697.jpeg
34,ball,car,car/img_2903.jpeg
34,ball,ground,ground/img_12341.jpeg
35,ball,ball,ball/img_19338.jpeg
35,ball,table,table/img_89569.jpeg
35,ball,basket,basket/img_649.jpeg
35,ball,foot,foot/img_562889.jpeg
36,ball,ball,ball/img_52614.jpeg
36,ball,floor,floor/img_6095.jpeg
36,ball,crib,crib/img_558545.jpeg
