image,positive_phrase,negative_phrase
S_20140420_1803_01_082_00.jpg,see person,touch pillow
S_20130808_0922_03_034_10.jpg,read book,eat book
S_20130928_1111_03_033_00.jpg,happy faces,sad faces
S_20130519_0702_03_044_05.jpg,blue cloth,red cloth
S_20130519_0702_03_044_20.jpg,play mat,read book
S_20131024_1207_03_253_05.jpg,read book,close box
S_20130529_0712_04_073_00.jpg,sit bench,run street
S_20130529_0712_04_073_25.jpg,big bush,small bush
S_20131110_1224_01_004_15.jpg,chalk draw,chalk eat
S_20131012_1125_03_042_05.jpg,car outside,bike outside
S_20131012_1125_03_042_15.jpg,car outside,car inside
S_20131012_1125_03_042_20.jpg,silver car,blue bike
S_20131012_1125_03_042_25.jpg,see stroller,find kitty
S_20130602_0716_02_120_15.jpg,happy bug,sad bug
S_20130602_0716_02_120_25.jpg,hold bug,drop bug
S_20130602_0716_02_120_30.jpg,fly toy,crawl toy
S_20140430_1813_04_072_00.jpg,shoe strap,hat strap
S_20130526_0709_01_008_00.jpg,big smile,small frown
S_20140125_1508_01_117_00.jpg,hug hippo,kick ball
S_20130724_0907_07_043_15.jpg,green bowl,blue cup
S_20130724_0907_07_043_20.jpg,nice table,messy chair
S_20130824_1007_02_101_05.jpg,press button,hug frog
S_20140413_1727_02_068_00.jpg,solve puzzle,kick ball
S_20130824_1007_02_187_00.jpg,press button,eat button
S_20130811_0925_03_008_15.jpg,sunny porch,cloudy porch
S_20130901_1015_04_038_00.jpg,book read,toy play
S_20130622_0805_06_118_00.jpg,see apple,see dog
S_20130622_0805_06_118_05.jpg,eat apple,play dog
S_20140409_1723_02_261_05.jpg,eat fruit,play fruit
S_20140409_1723_02_261_10.jpg,climb stairs,slide down
S_20140409_1723_02_261_25.jpg,open bin,closed bin
S_20140420_1803_01_219_05.jpg,sleep kitty,wake kitty
S_20130901_1015_04_116_00.jpg,yellow fish,red fish
S_20130915_1029_01_031_00.jpg,paper fall,ball roll
S_20140403_1717_07_070_15.jpg,hold jar,drop jar
S_20130731_0914_01_119_00.jpg,girl book,baby book
S_20130508_0621_02_059_10.jpg,see ball,hide ball
S_20130508_0621_02_059_25.jpg,yellow ball,green star
S_20130928_1111_03_053_05.jpg,family book,story book
S_20130616_0730_01_002_10.jpg,see pictures,eat pictures
S_20130616_0730_01_002_15.jpg,light on,light off
S_20131024_1207_03_132_00.jpg,see kitty,see puppy
S_20130424_0607_01_068_15.jpg,happy face,sad face
S_20141015_2328_01_206_05.jpg,big tree,small bird
S_20130714_0827_07_044_05.jpg,happy sit,sad stand
S_20130714_0827_07_044_10.jpg,catch ball,drop ball
S_20140426_1809_09_044_00.jpg,stair step,chair step
S_20140426_1809_09_044_10.jpg,long sleeves,short sleeves
S_20141023_2406_01_039_05.jpg,play guitar,hug guitar
S_20140409_1723_08_189_00.jpg,yellow bucket,blue bucket
S_20140409_1723_08_189_05.jpg,sand bucket,stone shovel
S_20130901_1015_04_058_10.jpg,yellow baby,green baby
S_20140406_1720_04_286_05.jpg,color paper,fold paper
S_20131113_1227_05_112_10.jpg,see heart,find rocket
S_20140413_1727_01_067_00.jpg,cow piece,duck piece
S_20140430_1813_06_124_00.jpg,see tree,climb rock
S_20130508_0621_01_070_00.jpg,banana floor,banana table
S_20130508_0621_01_070_05.jpg,play mat,clean grass
S_20130508_0621_01_070_10.jpg,banana peel,apple peel
S_20130508_0621_01_070_30.jpg,climb ladder,sit mat
S_20131113_1227_04_074_05.jpg,reach cup,push cup
S_20131113_1227_04_074_20.jpg,point cup,touch cup
S_20130822_1005_02_090_05.jpg,red cup,blue cup
S_20140420_1803_01_104_05.jpg,diaper clean,sock clean
S_20140125_1508_01_225_05.jpg,see book,close book
S_20140403_1717_02_016_05.jpg,star pillow,blue giraffe
S_20140403_1717_02_016_10.jpg,big yawn,small jump
S_20140430_1813_02_241_10.jpg,color book,tear book
